STATE,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES ,
Pennsylvania,,Scattered,,W(R),2044,,
Pennsylvania,,,Party Votes:,R,760558,,
Pennsylvania,,"Smith, Rayburn Douglas",,LIB,,96926,
Pennsylvania,,Scattered,,W,,2069,
Pennsylvania,,,Total State Votes:,,1462170,5629491,
,,,,,,,
Rhode Island,,,,,,,
Rhode Island,(I),"Whitehouse, Sheldon",,D,60754,271034,
Rhode Island,,,Party Votes:,D,60754,,
Rhode Island,,"Hinckley, Benjamin Barrett, III",,R,6934,146222,
Rhode Island,,,Party Votes:,R,6934,,
Rhode Island,,Scattered,,W,,889,
Rhode Island,,Nobody,,W,,37,
Rhode Island,,"Paul, Ron",,W,,7,
Rhode Island,,,Total State Votes:,,67688,418189,
,,,,,,,
Tennessee,,,,,,,
Tennessee,(I),"Corker, Bob",,R,389613,1506443,
Tennessee,,"Poskevich, Zach",,R,28311,,
Tennessee,,"Anderson, Fred R.",,R,15951,,
Tennessee,,"Clemons, Mark Twain",,R,11795,,
Tennessee,,"Lenard, Brenda S.",,R,11384,,
Tennessee,,,Party Votes:,R,457054,,
Tennessee,,"Clayton, Mark E.",,D,48196,705882,
Tennessee,,"Davis, Gary Gene",,D/W,24814,18,
Tennessee,,"Overall, Park",,D,24289,,
Tennessee,,"Crim, Larry",,D/W,17744,218,
Tennessee,,"Roberts, Benjamin",,D,16387,,
Tennessee,,"Hancock, Dave",,D,16194,,
Tennessee,,"Owens, T.K.",,D,13392,,
Tennessee,,,Party Votes:,D,161016,,
Tennessee,,"Pleasant, Martin",,GRE,,38472,
Tennessee,,"Crowell, Shaun E.",,IND,,20936,
Tennessee,,"Steck, Kermit",,CON,,18620,
Tennessee,,"Higdon, James",,IND,,8085,
Tennessee,,"Long, Michel Joseph",,IND,,8080,
Tennessee,,"Scoggin, Troy Stephen",,IND,,7148,
Tennessee,,"Gatchell, David",,IND,,6523,
Tennessee,,"Stinnett, Angelia",,W,,470,
Tennessee,,"Maurer, Jacob ",,W,,409,
Tennessee,,"Maynard, Jim ",,W,,117,
Tennessee,,"Penn, Margie Nell",,W,,23,
