STATE,D,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES ,,
Nebraska,S,,"McLeay, Bart ",,R,12348,,,
Nebraska,S,,"Johnson, Clifton R.",,R,3110,,,
Nebraska,S,,,Party Votes:,R,218879,,,
Nebraska,S,,"Sasse, Ben",,N(R),2359,,,
Nebraska,S,,"Dinsdale, Sid ",,N(R),1468,,,
Nebraska,S,,"Osborn, Shane",,N(R),1386,,,
Nebraska,S,,"McLeay, Bart ",,N(R),492,,,
Nebraska,S,,"Johnson, Clifton R.",,N(R),200,,,
Nebraska,S,,,Party Votes:,N(R),5905,,,
Nebraska,S,,"Domina, Dave",,D,44487,170127,,
Nebraska,S,,"Marvin, Larry ",,D,21483,,,
Nebraska,S,,,Party Votes:,D,65970,,,
Nebraska,S,,"Domina, Dave",,N(DEM),1161,,,
Nebraska,S,,"Marvin, Larry ",,N(DEM),421,,,
Nebraska,S,,,Party Votes:,N(DEM),1582,,,
Nebraska,S,,"Jenkins, Jim",,BP,,15868,,
Nebraska,S,,"Watson, Todd F.",,BP,,6260,,
Nebraska,S,,Scattered,,W,,446,,
Nebraska,S,,,Total State Votes:,,292336,540337,,
,,,,,,,,,
New Hampshire,S,(I),"Shaheen, Jeanne",,D,39282,251184,,
New Hampshire,S,,"Brown, Scott P.",,W(D),363,,,
New Hampshire,S,,Scattered,,W(D),245,,,
New Hampshire,S,,"Rubens, Jim",,W(D),127,,,
New Hampshire,S,,"Smith, Bob ",,W(D),123,,,
New Hampshire,S,,"Farnham, Mark W.",,W(D),4,,,
New Hampshire,S,,"Heghmann, Bob",,W(D),4,,,
New Hampshire,S,,"Kelly, Walter W.",,W(D),2,,,
New Hampshire,S,,"Martin, Andy",,W(D),2,,,
New Hampshire,S,,"D'Arcy, Robert",,W(D),0,,,
New Hampshire,S,,,Party Votes:,D,40152,,,
New Hampshire,S,,"Brown, Scott P.",,R,59147,235347,,
New Hampshire,S,,"Rubens, Jim",,R,27252,,,
New Hampshire,S,,"Smith, Bob ",,R,26762,,,
New Hampshire,S,,"Kelly, Walter W.",,R,1392,,,
New Hampshire,S,,"Heghmann, Bob",,R,789,,,
New Hampshire,S,,"Martin, Andy",,R,738,,,
New Hampshire,S,,"Farnham, Mark W.",,R,737,,,
New Hampshire,S,,"Dziedzic, Miro",,R,515,,,
New Hampshire,S,,"Beloin, Gerard",,R,503,,,
New Hampshire,S,,"D'Arcy, Robert",,R,399,,,
New Hampshire,S,(I),"Shaheen, Jeanne",,W(R),220,,,
New Hampshire,S,,Scattered,,W(R),183,,,
New Hampshire,S,,,Party Votes:,R,118637,,,
New Hampshire,S,,Scattered,,W,,1628,,
New Hampshire,S,,,Total State Votes:,,158789,488159,,
,,,,,,,,,
New Jersey,S, (I),"Booker, Cory ",,D,202129,1043866,,
New Jersey,S,,,Party Votes:,D,202129,,,
New Jersey,S,,"Bell, Jeff",,R,42728,791297,,
New Jersey,S,,"Pezzullo, Richard J.",,R,38130,,,
New Jersey,S,,"Goldberg, Brian D.",,R,36266,,,
New Jersey,S,,"Sabrin, Murray",,R,28183,,,
New Jersey,S,,,Party Votes:,R,145307,,,
New Jersey,S,,"Baratelli, Joseph",,LIB,,16721,,
New Jersey,S,,"Schroeder, Hank",,EG,,5704,,
New Jersey,S,,"Boss, Jeff",,IND,,4513,,
New Jersey,S,,"LaVergne, Martin Eugene",,DRP,,3890,,
New Jersey,S,,"Sabas, Antonio N.",,IND,,3544,,
New Jersey,S,,,Total State Votes:,,347436,1869535,,
,,,,,,,,,
New Mexico,S,(I),"Udall, Tom",,D,113502,286409,,
New Mexico,S,,,Party Votes:,D,113502,,,
New Mexico,S,,"Weh, Allen E. ",,R,41566,229097,,
New Mexico,S,,"Clements, David Kale ",,R,24413,,,
New Mexico,S,,,Party Votes:,R,65979,,,
New Mexico,S,,,Total State Votes:,,179481,515506,,
,,,,,,,,,
