STATE,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES 
Ohio,,"Sittenfeld, P.G.",,D,254232,
Ohio,,"Prather, Kelli",,D,144945,
Ohio,,,Party Votes:,D,1141853,
Ohio,,"Connors, Tom",,N,,93041
Ohio,,"DeMare, Joseph R.",,GRE,3123,88246
Ohio,,,Party Votes:,GRE,3123,
Ohio,,"Rupert, Scott",,N,,77291
Ohio,,"Stahl, James",,W,,111
Ohio,,,Total State Votes:,,2771930,5374164
Ohio,,,,,,
,,,,,,
Oklahoma,(I),"Lankford, James",,R,Unopposed,980892
Oklahoma,,"Workman, Mike ",,D,Unopposed,355911
Oklahoma,,"Murphy, Robert T.",,LIB,1539,43421
Oklahoma,,"Ewbank, Dax",,LIB,1077,
Oklahoma,,,Party Votes:,LIB,2616,
Oklahoma,,"Braddy, Sean ",,IND,,40405
Oklahoma,,"Beard, Mark T.",,IND,,27418
Oklahoma,,,Total State Votes:,,2616,1448047
Oklahoma,,,,,,
,,,,,,
Oregon,(I),"Wyden, Ron",,D,501903,1105119
Oregon,,"Stine, Kevin H.",,D,78287,
Oregon,,"Weaver, Paul B.",,D,20346,
Oregon,,Scattered,,W(D),2740,
Oregon,,,Party Votes:,D,603276,
Oregon,,"Callahan, Mark",,R,123473,651106
Oregon,,"Carpenter, Sam",,R,104494,
Oregon,,"Stewart, Faye",,R,57399,
Oregon,,"Laschober, Dan",,R,34157,
Oregon,,Scattered,,W(R),3357,
Oregon,,,Party Votes:,R,322880,
Oregon,,"Reynolds, Steven C.",,IP,10497,59516
Oregon,,Scattered,,W(IP),10496,
Oregon,,"Sandnes, Marvin",,IP,4733,
Oregon,,,Party Votes:,IP,25726,
Oregon,,"Lewallen, Shanti S.",,WF,,61915
Oregon,,"Navickas, Eric",,PG/PRO,*,48823
Oregon,,"Lindsay, Jim",,LIB,*,23941
Oregon,,Scattered,,W ,,2058
Oregon,,,Total State Votes:,,951882,1952478
Oregon,,,,,,
,,,,,,
Pennsylvania,(I),"Toomey, Pat",,R,1342941,2951702
Pennsylvania,,Scattered,,W(R),12833,
Pennsylvania,,,Party Votes:,R,1355774,
Pennsylvania,,"McGinty, Katie",,D,669774,2865012
Pennsylvania,,"Sestak, Joe",,D,513221,
Pennsylvania,,"Fetterman, John",,D,307090,
Pennsylvania,,"Vodvarka, Joseph J.",,D,85837,
Pennsylvania,,Scattered,,W(D),4448,
Pennsylvania,,,Party Votes:,D,1580370,
Pennsylvania,,"Clifford, Edward T., III",,LIB,,235142
Pennsylvania,,Scattered,,W,,6655
Pennsylvania,,,Total State Votes:,,2936144,6058511
Pennsylvania,,,,,,
,,,,,,
South Carolina,(I),"Scott, Tim",,R,Unopposed,1241609
South Carolina,,"Dixon, Thomas",,D,Unopposed,704540
South Carolina,,"Dixon, Thomas",,WF,*,37610
South Carolina,,"Dixon, Thomas",,GRE,*,14872
South Carolina,,"Bledsoe, Bill",,LIB,*,24830
South Carolina,,"Bledsoe, Bill",,CON,*,12652
South Carolina,,"Scarborough, Rebel Michael",,AM,*,11923
South Carolina,,"Hinkle, Jim",,AM,,
South Carolina,,Scattered,,W,,1857
South Carolina,,,Total State Votes:,,,2049893
South Carolina,,,,,,
,,,,,,
South Dakota,(I),"Thune, John R.",,R,Unopposed,265516
South Dakota,,"Williams, Jay",,D,Unopposed,104140
South Dakota,,,Total State Votes:,,,369656
South Dakota,,,,,,
,,,,,,
Utah,(I),"Lee, Mike",,R,*,760241
Utah,,"Snow, Misty K.",,D,28928,301860
Utah,,"Swinton, Jonathan",,D,19774,
Utah,,"Quoc Vo, Jade Tuan",,D,,
,,,Party Votes:,D,48702,
Utah,,"Fonua, Stoney",,IAP,*,27340
Utah,,"Barron, Bill",,UN,,26167
Utah,,,Total State Votes:,,48702,1115608
Utah,,,,,,
,,,,,,
Vermont,(I),"Leahy, Patrick",,D,62249,192243
Vermont,,"Ericson, Cris",,D,7596,
Vermont,,Scattered,,W(D),424,
Vermont,,,Party Votes:,D,70269,
Vermont,,"Milne, Scott",,R,37782,103637
Vermont,,Scattered,,W(R),1223,
Vermont,,,Party Votes:,R,39005,
Vermont,,"Ericson, Cris",,USM,,9156
Vermont,,"Trudell, Jerry",,IND,,5223
Vermont,,"Diamondstone, Pete ",,LBU,,3241
Vermont,,Scattered,,W,,168
Vermont,,"Sanders, Bernie",,W,,86
Vermont,,No Name,,W,,25
Vermont,,"Greco, Rosanne",,W,,14
Vermont,,"Douglas, Jim",,W,,9
Vermont,,"Welch, Peter",,W,,7
Vermont,,Scattered,,W(PRO),245,
Vermont,,,Party Votes:,PRO,245,
Vermont,,,Total State Votes:,,109519,313809
Vermont,,,,,,
,,,,,,
Washington,(I),"Murray, Patty ",,D,745421,1913979
Washington,,"Vance, Chris ",,R,381004,1329338
Washington,,"Makus, Eric John",,R,57825,
Washington,,"Cornell, Philip L.",,D,46460,
Washington,,"Nazarino, Scott",,R,41542,
Washington,,"Luke, Mike",,LIB,20988,
Washington,,"Said, Mohammad",,D,13362,
Washington,,"Lands, Donna Rae",,CRV,11472,
