STATE,DISTRICT,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES
Oregon,S,,"Bowerman, Earl",,R,18779,
Oregon,S,,"Petrie, Philip",,R,15838,
Oregon,S,,"Goberman, Pavel",,R,12230,
Oregon,S,,Scattered,,W(R),4990,
Oregon,S,,,Party Votes:,R,241835,
Oregon,S,,"Keane, Teresa",,PG,,43053
Oregon,S,,"Fitzgerald, Dan",,LBT,,29582
Oregon,S,,"Brownlow, David",,CON,,12397
Oregon,S,,Scattered,,W,,1536
Oregon,S,,,Senate Votes:,,590441,1780550
Pennsylvania,S,(I),"Specter, Arlen",,R,530839,2925080
Pennsylvania,S,,"Toomey, Pat",,R,513693,
Pennsylvania,S,,,Party Votes:,R,1044532,
Pennsylvania,S,,"Hoeffel, Joseph M.",,D,595816,2334126
Pennsylvania,S,,,Party Votes:,D,595816,
Pennsylvania,S,,"Clymer, James N.",,CON,,220056
Pennsylvania,S,,"Summers, Betsy",,LBT,,79263
Pennsylvania,S,,Scattered,,W,,580
Pennsylvania,S,,,Senate Votes:,,1640348,5559105
South Carolina,S,,"DeMint, Jim",,R,77567,857167
South Carolina,S,,"Beasley, David",,R,107847,
South Carolina,S,,"Ravenel, Thomas",,R,73167,
South Carolina,S,,"Condon, Charlie",,R,27694,
South Carolina,S,,"McBride, Mark",,R,6479,
South Carolina,S,,"Davis, Orly Benny",,R,1915,
South Carolina,S,,,Party Votes:,R,294669,
South Carolina,S,,"Tenenbaum, Inez",,D,126720,704384
South Carolina,S,,"Frasier, Ben, Jr.",,D,41070,
South Carolina,S,,,Party Votes:,D,167790,
South Carolina,S,,"Tyndall, Patrick",,CON,,13464
South Carolina,S,,"Sutherland, Rebekah E.",,LBT,,10678
South Carolina,S,,"Ferguson, Tee",,UC,,5859
South Carolina,S,,"Nwangaza, Efia",,,,4383
South Carolina,S,,"Nwangaza, Efia",,GRN,,4245
South Carolina,S,,"Nwangaza, Efia",,IDP,,138
South Carolina,S,,Scattered,,W,,1286
South Carolina,S,,,Senate Votes:,,462459,1597221
South Dakota,S,,"Thune, John",,R,Unopposed,197848
South Dakota,S,(I),"Daschle, Tom",,D,Unopposed,193340
South Dakota,S,,,Senate Votes:,,n/a,391188
Utah,S,(I),"Bennett, Robert F.",,R,*,626640
Utah,S,,"Van Dam, R. Paul",,D,*,258955
Utah,S,,"Van Horn, Gary R.",,CON,*,17289
Utah,S,,"Labonte, Joe",,PCH,*,8824
Utah,S,,"Judy, Cody Robert",,D/W,n/a,16
Utah,S,,"Tuaone, Nola",,W,,2
Utah,S,,,Senate Votes:,,n/a,911726
Vermont,S,(I),"Leahy, Patrick",,D,27459,216972
Vermont,S,,"Hill, Craig",,D,1573,
Vermont,S,,Scattered,,W(D),81,
Vermont,S,,,Party Votes:,D,29113,
Vermont,S,,"McMullen, Jack",,R,9591,75398
Vermont,S,,"Moss, Peter D.",,R,2058,
Vermont,S,,"Mitchell, Ben",,R,1715,
Vermont,S,,Scattered,,W(R),806,
Vermont,S,,,Party Votes:,R,14170,
Vermont,S,,"Ericson, Cris",,M,,6486
Vermont,S,,"Hill, Craig",,VGR,,3999
Vermont,S,,"Stern, Keith",,I,,3300
Vermont,S,,"Mitchell, Ben",,LU,,879
Vermont,S,,Scattered,,W,,174
Vermont,S,,Scattered,,W(PRO),242,
Vermont,S,,,Party Votes:,PRO,242,
Vermont,S,,,Senate Votes:,,43525,307208
Washington,S,(I),"Murray, Patty",,D,709497,1549708
Washington,S,,"Hanson, Warren E.",,D,46490,
Washington,S,,"Said, Mohammad H.",,D,13527,5548646
Washington,S,,,Party Votes:,D,769514,
Washington,S,,"Nethercutt, George R., Jr.",,R,432748,1204584
Washington,S,,"Davis, Reed",,R,36147,
Washington,S,,"Klippert, Brad",,R,29870,
Washington,S,,"Jackson, Chuck",,R,10033,
Washington,S,,"Pross, Gordon Allen",,R,8315,
Washington,S,,"Chovil, William Edward",,R,4981,
Washington,S,,,Party Votes:,R,522094,
Washington,S,,"Mills, J.",,LBT,12945,34055
Washington,S,,,Party Votes:,LBT,12945,
Washington,S,,"Wilson, Mark B.",,GRN,,30304
Washington,S,,,Senate Votes:,,1304553,2818651
Wisconsin,S,(I),"Feingold, Russ",,D,251915,1632697
Wisconsin,S,,Scattered,,W(D),862,
Wisconsin,S,,,Party Votes:,D,252777,
Wisconsin,S,,"Michels, Tim",,R,183654,1301183
Wisconsin,S,,"Darrow, Russ",,R,130088,
Wisconsin,S,,"Welch, Bob",,R,99971,
Wisconsin,S,,"Lorge, Robert Gerald",,R,18809,
Wisconsin,S,,Scattered,,W(R),350,
Wisconsin,S,,,Party Votes:,R,432872,
Wisconsin,S,,"Khan, Arif",,LBT,850,8367
Wisconsin,S,,Scattered,,W(LBT),28,
Wisconsin,S,,,Party Votes:,LBT,878,
Wisconsin,S,,"Hem, Eugene",,I,,6662
Wisconsin,S,,Scattered,,W,,834
Wisconsin,S,,Scattered,,W(WG),14,
Wisconsin,S,,,Party Votes:,WG,14,
Wisconsin,S,,Scattered,,W(CON),9,
Wisconsin,S,,,Party Votes:,CON,9,
Wisconsin,S,,,Senate Votes:,,686550,2949743
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
